name,year,pop_n,pop_u,wat_bas_n,wat_lim_n,wat_unimp_n,wat_sur_n,wat_bas_r,wat_lim_r,wat_unimp_r,wat_sur_r,wat_bas_u,wat_lim_u,wat_unimp_u,wat_sur_u,region,pop_r,pop_r_pct,pop_u_pct,wat_bas_n_calc,pop_without_basic_water,pop_r_without_basic_water,pop_u_without_basic_water,access_category_national,access_category_rural,access_category_urban,rural_urban_gap,has_significant_gap,wat_bas_n_prev_year,yoy_improvement
Eritrea,2016,3376.558105,38.82699966,51.84972018,17.59725585,13.45014014,17.10288384,27.80157647,24.49842353,20.075,27.625,89.73822453,6.724275474,3.0125,0.525,Sub-Saharan Africa,3337.73110534,98.85,1.15,28.51,1625.82,2409.79,3.98,Medium,Low,Medium-High,61.94,True,51.46509353,0.38
Eswatini,2015,1104.037964,23.29999924,66.70395522,8.767617333,10.89011026,13.63831719,58.1249849,11.1820493,13.43987898,17.25308683,94.94460013,0.8196803222,2.496665561,1.73905399,Sub-Saharan Africa,1080.73796476,97.89,2.11,58.9,367.6,452.56,1.18,Medium,Medium,High,36.82,True,,
Eswatini,2020,1160.16394,24.17100143,70.75307095,9.507067163,9.835567931,9.904293959,62.46644874,12.29969513,12.45046093,12.78339519,96.74976305,0.7460644731,1.632164244,0.8720082294,Sub-Saharan Africa,1135.99293857,97.92,2.08,63.18,339.31,426.38,0.79,Medium,Medium,High,34.28,True,66.70395522,4.05
Ethiopia,2015,100835.4531,19.4280014,42.0700672,21.73879027,24.47785615,11.71328639,32.45176743,23.5985521,29.78155581,14.16812467,81.95917654,14.02596733,2.482299691,1.532556439,Sub-Saharan Africa,100816.0250986,99.98,0.02,32.46,58413.91,68099.44,3.5,Low,Low,Medium-High,49.51,True,,
Ethiopia,2020,114963.5859,21.69499969,49.61557274,26.74071964,18.63506013,5.008647486,40.03013919,30.18668334,23.49561327,6.287564203,84.21282816,14.30300858,1.091582355,0.392580896,Sub-Saharan Africa,114941.89090031,99.98,0.02,40.04,57923.74,68930.49,3.43,Low,Low,Medium-High,44.18,True,42.0700672,7.55
Gabon,2015,1947.689941,88.11799622,83.85848655,7.722430434,4.92418211,3.494900901,43.39003316,10.19264777,21.81093263,24.60638644,89.31533187,7.389341617,2.647139145,0.6481873668,Sub-Saharan Africa,1859.57194478,95.48,4.52,45.47,314.39,1052.7,9.42,Medium-High,Low,Medium-High,45.93,True,,
Gabon,2020,2225.728027,90.09200287,85.3419306,7.735263103,6.922808357,,44.74588901,10.51114859,44.7429624,,89.80653917,7.42998076,2.763480072,,Sub-Saharan Africa,2135.63602413,95.95,4.05,46.57,326.25,1180.03,9.18,Medium-High,Low,Medium-High,45.06,True,83.85848655,1.48
Gambia,2015,2085.860107,59.22800064,79.2101665,9.073370006,11.62401462,0.09244887038,68.25489257,15.34008454,16.32238996,0.08263292471,86.75167126,4.759421567,8.389701102,0.0992060715,Sub-Saharan Africa,2026.63210636,97.16,2.84,68.78,433.65,643.36,7.85,Medium-High,Medium,Medium-High,18.5,True,,
Gambia,2020,2416.664063,62.58199692,80.94040714,8.597391391,10.35285207,0.1093493927,69.18852321,16.49783239,14.24376547,0.0698789368,87.96690427,3.873689522,8.026457278,0.1329489253,Sub-Saharan Africa,2354.08206608,97.41,2.59,69.67,460.61,725.33,7.53,Medium-High,Medium,Medium-High,18.78,True,79.2101665,1.73
Ghana,2015,27849.20313,54.08599854,80.15796123,7.89759919,4.426643676,7.517795899,67.20830477,11.1534648,6.335259242,15.30297119,91.15101984,5.133670929,2.806405888,0.9089033445,Sub-Saharan Africa,27795.117131460003,99.81,0.19,67.25,5525.85,9114.49,4.79,Medium-High,Medium,High,23.94,True,,
