name,region,wat_bas_n,wat_bas_r,wat_bas_u,rural_urban_gap,pop_without_basic_water
Nicaragua,Latin America & Caribbean,81.7087538,59.10744663,97.40695661,38.3,1211.71
Gambia,Sub-Saharan Africa,80.94040714,69.18852321,87.96690427,18.78,460.61
Sao Tome and Principe,Sub-Saharan Africa,78.22645516,74.30061449,79.5805429,5.28,47.72
Kiribati,East Asia & Pacific,77.97092085,60.99418489,91.53117485,30.54,26.31
Nigeria,Sub-Saharan Africa,77.60905338,61.65821003,92.35770519,30.7,46156.61
Djibouti,Sub-Saharan Africa,76.04992021,47.28073293,84.13501493,36.85,236.63
Liberia,Sub-Saharan Africa,75.26179159,64.10021689,85.52810963,21.43,1251.18
Afghanistan,South Asia,75.09141325,66.32791521,100.0,33.67,9696.5
Congo,Sub-Saharan Africa,73.78451158,45.72441318,87.09329616,41.37,1446.59
Lesotho,Sub-Saharan Africa,72.17603927,63.65035482,93.02090855,29.37,596.06
Mauritania,Sub-Saharan Africa,71.68104923,49.9113389,89.25869465,39.35,1316.73
Cambodia,East Asia & Pacific,71.21988497,65.06715583,90.45807717,25.39,4811.74
Côte d'Ivoire,Sub-Saharan Africa,70.90907039,55.72244686,85.09355329,29.37,7673.69
Eswatini,Sub-Saharan Africa,70.75307095,62.46644874,96.74976305,34.28,339.31
Malawi,Sub-Saharan Africa,70.04772851,66.58504376,86.45469821,19.87,5729.86
Togo,Sub-Saharan Africa,68.58372009,52.11755275,90.58991001,38.47,2600.87
Solomon Islands,East Asia & Pacific,67.30102554,59.40526749,91.41077689,32.01,224.6
Haiti,Sub-Saharan Africa,66.6953084,42.8457001,84.62262129,41.78,3797.58
Cameroon,Sub-Saharan Africa,65.72041818,43.52758112,82.08358486,38.56,9099.81
Benin,Sub-Saharan Africa,65.41412299,58.05226799,73.25800004,15.21,4192.91
Zambia,Sub-Saharan Africa,65.41238357,48.22728833,86.73385466,38.51,6358.57
Guinea,Sub-Saharan Africa,63.96178874,50.74817899,86.58169007,35.83,4732.82
Sierra Leone,Sub-Saharan Africa,63.76628562,52.75270267,78.41163766,25.66,2890.36
Mozambique,Sub-Saharan Africa,63.36942563,48.8666865,87.98504792,39.12,11449.05
Zimbabwe,Sub-Saharan Africa,63.0,48.0,93.0,45.0,
Burundi,Sub-Saharan Africa,62.20712225,57.68576527,90.66911086,32.98,4493.87
Kenya,Sub-Saharan Africa,61.63289158,51.77997893,86.97523145,35.2,20630.49
United Republic of Tanzania,Sub-Saharan Africa,60.71679759,45.44696534,88.7939249,43.35,23465.51
Yemen,Europe & Central Asia,60.66356984,50.68133437,77.01412934,26.33,11732.47
Sudan,Middle East & North Africa,60.4486756,53.19902707,73.76365956,20.56,17342.97
Rwanda,Sub-Saharan Africa,60.41450115,55.64246823,83.0175993,27.38,5127.2
Guinea-Bissau,Sub-Saharan Africa,59.01691221,49.8319053,70.61434791,20.78,806.55
Angola,Sub-Saharan Africa,57.16773762,27.80822661,71.74314862,43.93,14077.37
Somalia,Sub-Saharan Africa,56.47697339,37.07586282,79.12330574,42.05,6917.21
Uganda,Sub-Saharan Africa,55.85504921,48.23118958,78.7828518,30.55,20192.34
Madagascar,Sub-Saharan Africa,53.38588491,36.40642028,80.47000694,44.06,12907.92
Ethiopia,Sub-Saharan Africa,49.61557274,40.03013919,84.21282816,44.18,57923.74
Burkina Faso,Sub-Saharan Africa,47.21485446,32.7182589,80.08191854,47.36,11033.83
Niger,Sub-Saharan Africa,46.91179747,39.15415932,85.81383976,46.66,12850.87
Chad,Sub-Saharan Africa,46.18753479,37.57521525,74.19222309,36.62,8839.16
Democratic Republic of the Congo,Sub-Saharan Africa,45.95212696,21.98279234,74.50335478,52.52,48406.04
Papua New Guinea,East Asia & Pacific,45.34401752,39.07134367,86.07527164,47.0,4890.09
South Sudan,Sub-Saharan Africa,40.95092717,33.59362881,70.01770445,36.42,6609.79
Central African Republic,Sub-Saharan Africa,37.20240205,28.10659415,49.66166495,21.56,3032.98
Argentina,Latin America & Caribbean,,,99.79042065,,
Croatia,Europe & Central Asia,,,100.0,,
