name,year,pop_n,pop_u,wat_bas_n,wat_lim_n,wat_unimp_n,wat_sur_n,wat_bas_r,wat_lim_r,wat_unimp_r,wat_sur_r,wat_bas_u,wat_lim_u,wat_unimp_u,wat_sur_u,region,pop_r,pop_r_pct,pop_u_pct,wat_bas_n_calc,pop_without_basic_water,pop_r_without_basic_water,pop_u_without_basic_water,access_category_national,access_category_rural,access_category_urban,rural_urban_gap,has_significant_gap,wat_bas_n_prev_year,yoy_improvement
Cambodia,2020,16718.9707,24.23200035,71.21988497,13.90222204,5.677218558,9.200674434,65.06715583,15.51772278,7.492899307,11.92222209,90.45807717,8.85091472,0.0,0.6910081144,East Asia & Pacific,16694.738699650003,99.86,0.14,65.1,4811.74,5831.95,2.31,Medium,Medium,High,25.39,True,68.44384896,2.78
Cameroon,2020,26545.86328,57.56000519,65.72041818,12.87474863,15.00100626,6.403826927,43.52758112,12.67259943,30.12380645,13.676013,82.08358486,13.02379677,3.850701351,1.041917019,Sub-Saharan Africa,26488.30327481,99.78,0.22,43.61,9099.81,14958.59,10.31,Medium,Low,Medium-High,38.56,True,63.97399012,1.75
Canada,2020,37742.15625,81.56200409,99.22181066,0.0,0.7781893369,0.0,99.0604959,0.0,0.9395041006,0.0,99.25827766,0.0,0.7417223371,0.0,North America,37660.59424591,99.78,0.22,99.06,293.71,353.82,0.6,Universal,Universal,Universal,0.2,False,99.22922139,-0.01
Central African Republic,2020,4829.76416,42.19799805,37.20240205,25.68237348,33.53911377,3.576110708,28.10659415,19.4058899,46.37307301,6.114442944,49.66166495,34.27978009,15.95940214,0.09915281712,Sub-Saharan Africa,4787.56616195,99.13,0.87,28.29,3032.98,3441.94,21.24,Low,Low,Low,21.56,True,42.31134542,-5.11
Chad,2020,16425.85938,23.52000046,46.18753479,14.74028929,31.56245714,7.509718784,37.57521525,14.35396111,38.52496761,9.545856027,74.19222309,15.99651381,8.922452721,0.8888103843,Sub-Saharan Africa,16402.33937954,99.86,0.14,37.63,8839.16,10239.13,6.07,Low,Low,Medium,36.62,True,44.39909697,1.79
Chile,2020,19116.20898,87.72699738,99.99999872,0.0,1.277139333e-06,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,Latin America & Caribbean,19028.48198262,99.54,0.46,100.0,0.0,0.0,0.0,Universal,Universal,Universal,0.0,False,99.50649272,0.49
China,2020,1463140.5,61.71308899,94.26111059,0.8147213297,4.725451938,0.1987161441,89.66123351,1.832679086,8.506087409,0.0,97.11488267,0.1831784927,2.37993884,0.322,East Asia & Pacific,1463078.78691101,100.0,0.0,89.66,83968.02,151264.3,1.78,High,Medium-High,High,7.45,False,91.76264123,2.5
"China, Hong Kong SAR",2020,7496.987793,100.0,100.0,0.0,0.0,0.0,,,,,100.0,0.0,0.0,0.0,East Asia & Pacific,7396.987793,98.67,1.33,,0.0,,0.0,Universal,Unknown,Universal,,False,100.0,0.0
"China, Macao SAR",2020,649.34198,100.0,100.0,0.0,0.0,0.0,,,,,100.0,0.0,0.0,0.0,East Asia & Pacific,549.34198,84.6,15.4,,0.0,,0.0,Universal,Unknown,Universal,,False,100.0,0.0
Colombia,2020,50882.88281,81.42499542,97.49165711,0.1861521591,0.9536162228,1.368574512,86.76707282,0.7312282016,5.13386897,7.367830005,99.9381928,0.0618072,0.0,0.0,Latin America & Caribbean,50801.457814580004,99.84,0.16,86.79,1276.32,6722.52,0.05,High,Medium-High,Universal,13.17,True,96.33586812,1.16
Congo,2020,5518.091797,67.82900238,73.78451158,10.46117203,9.559180722,6.195135664,45.72441318,10.6323901,24.40516973,19.23802699,87.09329616,10.37996439,2.517789997,0.008949452055,Sub-Saharan Africa,5450.26279462,98.77,1.23,46.23,1446.59,2958.16,8.75,Medium,Low,Medium-High,41.37,True,71.14958177,2.63
Cook Islands,2020,17.56399918,75.49500275,99.97161022,0.0,0.0283897827,0.0,,,,,,,,,East Asia & Pacific,-57.93100357,-329.83,429.83,,0.0,,,Universal,Unknown,Unknown,,False,99.95367102,0.02
Costa Rica,2020,5094.11377,80.77099609,99.81053693,0.1894594746,3.594451897e-06,0.0,99.64625,0.35375,0.0,0.0,99.84965286,0.1503471429,0.0,0.0,Latin America & Caribbean,5013.34277391,98.41,1.59,99.65,9.65,17.73,0.12,Universal,Universal,Universal,0.2,False,99.37868682,0.43
Croatia,2020,4105.268066,57.55299759,,,,,,,,,100.0,0.0,0.0,0.0,Europe & Central Asia,4047.7150684099997,98.6,1.4,,,,0.0,Unknown,Unknown,Universal,,False,,
Cuba,2020,11326.61621,77.19400024,97.00269616,1.471384542,1.252811506,0.2731077963,94.38665114,2.591752445,1.905972935,1.115623477,97.77557664,1.1403859,1.059840374,0.02419708411,Latin America & Caribbean,11249.42220976,99.32,0.68,94.41,339.49,631.47,1.72,High,High,High,3.39,False,95.87179647,1.13
Cyprus,2020,1207.360962,66.82099915,99.76517318,0.0,0.2348268167,0.0,99.84576172,0.0,0.1542382836,0.0,99.72515812,0.0,0.2748418825,0.0,Europe & Central Asia,1140.53996285,94.47,5.53,99.84,2.84,1.76,0.18,Universal,Universal,Universal,-0.12,False,99.78851757,-0.02
