name,income_group,wat_bas_n,urban_rural_gap,pop_without_basic
Rwanda,Low income,60.41450115,27.375131070000002,5127.196536827497
Guinea,Low income,63.96178874,35.833511079999994,4732.823321692557
Zimbabwe,Lower middle income,62.66645761,44.6127001,5548.857062339253
Somalia,Low income,56.47697339,42.04744292000001,6917.209825748009
Chad,Low income,46.18753479,36.61700784,8839.159864306022
Cambodia,Lower middle income,71.21988497,25.39092133999999,4811.738999291997
Senegal,Lower middle income,84.90523779,20.078772740000005,2527.45637131509
Netherlands,High income,99.99999929,0.0,0.00012165759776344122
Syrian Arab Republic,Low income,93.92585718,3.322419359999998,1063.0148550622573
Ecuador,Upper middle income,95.35976356,12.949255050000005,818.6797247723636
Guatemala,Upper middle income,94.00642827,7.49883964,1073.7823236191357
Zambia,Low income,65.41238357,38.506566330000005,6358.571867733899
Kazakhstan,Upper middle income,95.43497032,6.061478989999998,857.1622488461456
Chile,High income,99.99999872,0.0,0.00024468747617349565
Malawi,Low income,70.04772851,19.86965445,5729.856081476647
Romania,High income,100.0,0.0,0.0
Mali,Low income,82.54729103,23.83655954000001,3534.319118527268
Burkina Faso,Low income,47.21485446,47.36365964,11033.825366548843
Sri Lanka,Lower middle income,92.22757937,9.03194449,1664.3278605534747
Niger,Low income,46.91179747,46.659680439999995,12850.868327614946
Australia,High income,99.96981182,-0.03499999999999659,7.69794993380136
Democratic People's Republic of Korea,Low income,93.84384303,8.159885559999992,1586.9842825470416
Côte d'Ivoire,Lower middle income,70.90907039,29.371106430000005,7673.685526036854
Cameroon,Lower middle income,65.72041818,38.55600374,9099.810922892937
Madagascar,Low income,53.38588491,44.063586660000006,12907.923713308577
Venezuela (Bolivarian Republic of),,93.68580071,,1795.5021337419237
Nepal,Lower middle income,90.07454179,-0.62563849,2891.961760328141
Yemen,Low income,60.66356984,26.332794969999995,11732.471366887174
Ghana,Lower middle income,85.79099665,24.234509469999992,4415.155840041569
Mozambique,Low income,63.36942563,39.11836142,11449.045563810167
Malaysia,Upper middle income,97.09990707,8.945647789999995,938.6440211719877
Angola,Lower middle income,57.16773762,43.93492201,14077.366799607593
Peru,Upper middle income,93.13936621,15.760405590000005,2262.0777217492823
Uzbekistan,Lower middle income,97.82878485,3.4834232000000043,726.68832404832
Saudi Arabia,High income,100.0,,0.0
Morocco,Lower middle income,90.40234468,20.55061705,3542.5481901548524
Canada,High income,99.22181066,0.19778175999999803,293.7054366236427
Poland,High income,99.96659155,-0.05564515999999742,12.643964265140717
Afghanistan,Low income,75.09141325,33.67208479,9696.49929938121
Iraq,Upper middle income,98.35990325,4.977584250000007,659.687979396532
Ukraine,Lower middle income,93.92828195,-8.722729889999997,2655.390466893055
Sudan,Low income,60.4486756,20.564632489999994,17342.966838840654
Algeria,Lower middle income,94.43732996,5.967197949999999,2439.2888295197163
Argentina,Upper middle income,,,
Uganda,Low income,55.85504921,30.551662220000004,20192.3419408539
Spain,High income,99.92561261,-0.09205479000000594,34.779661472083575
Colombia,Upper middle income,97.49165711,13.17111998,1276.3171731916646
Republic of Korea,High income,99.93139665,,35.17237746039212
Kenya,Lower middle income,61.63289158,35.19525252,20630.493269106908
Myanmar,Lower middle income,83.71819191,17.005321370000004,8858.89807354171
South Africa,Upper middle income,93.88505744,15.671783660000003,3626.6924128091555
United Republic of Tanzania,Lower middle income,60.71679759,43.346959559999995,23465.51252362146
Italy,High income,99.91703407,,50.16271800305629
France,High income,99.9999985,0.0,0.0009791026733280033
United Kingdom,High income,99.99999856,0.0,0.0009775585161700983
Thailand,Upper middle income,100.0,0.0,0.0
Germany,High income,100.0000023,0.0,-0.0019270307467898467
Iran (Islamic Republic of),Lower middle income,97.48263633,4.815751340000006,2114.408087454743
Turkey,Upper middle income,97.01426916,1.2996480599999956,2518.137632414955
Democratic Republic of the Congo,Lower middle income,45.95212696,52.52056243999999,48406.03514283862
Viet Nam,Lower middle income,96.88435687,3.6685015700000037,3032.7229656787513
Egypt,Lower middle income,99.44017596,0.2508959500000003,572.8926076586696
Philippines,Lower middle income,94.10903456,6.427399280000003,6455.383899145715
Ethiopia,Low income,49.61557274,44.18268897,57923.74431327312
Japan,High income,99.07891245,,1164.9589350305127
Mexico,Upper middle income,99.67956828,1.662931069999999,413.14142846830254
Russian Federation,Upper middle income,96.99254807,7.2884976499999965,4388.9085262908975
Bangladesh,Lower middle income,97.69796025,-0.4774597899999975,3791.215235644773
Nigeria,Lower middle income,77.60905338,30.699495160000005,46156.606410442815
Brazil,Upper middle income,99.32085299,3.8767417800000032,1443.590852360189
Pakistan,Lower middle income,90.14896508,4.1681890899999985,21760.18037673198
Indonesia,Lower middle income,92.41534961,11.912549689999992,20745.810690304617
United States of America,High income,99.88352668,0.2573571300000026,385.5297830807899
India,Lower middle income,90.48952503,4.887533170000012,131244.97066927998
China,Upper middle income,94.26111059,7.453649159999998,83968.01520792102
